Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Ziomara Morrison,SAS,C,30,166,30,0,166,7.0,16.4,.423,1.9,3.2,.600,5.1,13.3,.381,2.8,3.5,.818,4.1,11.4,0.6,0.9,0.9,4.1,8.2,18.6
Shay Murphy,CHI,G,29,538,29,3,538,8.6,20.4,.420,4.4,10.0,.441,4.1,10.3,.400,2.7,3.6,.730,3.0,8.3,2.7,3.1,0.6,3.0,4.4,24.2
Natalie Novosel,WAS,G,31,306,31,0,306,6.0,17.7,.337,1.6,7.2,.220,4.4,10.5,.417,3.9,5.1,.759,3.3,7.2,4.0,2.5,0.5,3.3,2.8,17.4
Nneka Ogwumike,LAS,F,33,920,33,33,920,9.8,18.3,.535,0.1,0.4,.143,9.7,17.9,.543,5.8,7.8,.734,5.4,13.5,2.2,2.5,1.6,2.3,4.8,25.3
Jenna O'Hea,LAS,F,8,144,8,0,144,4.6,8.8,.520,2.5,4.9,.500,2.1,3.9,.545,1.8,2.5,.714,2.8,7.0,5.6,1.1,0.4,2.1,4.9,13.3
Candace Parker,LAS,F-C,33,1014,33,33,1014,11.3,23.6,.481,0.9,2.9,.322,10.4,20.6,.504,4.9,6.9,.710,4.1,15.9,5.5,2.5,3.8,4.9,2.9,28.5
Kayla Pedersen,TUL,F,27,626,27,25,626,3.6,12.1,.297,0.2,1.0,.250,3.4,11.1,.301,1.9,3.2,.590,3.0,9.7,3.4,2.1,1.1,2.8,6.1,9.3
Ticha Penicheiro,CHI,G,19,242,19,6,242,2.6,7.4,.353,0.7,3.3,.200,2.0,4.2,.474,1.3,2.4,.545,0.4,5.2,8.5,1.7,0.7,8.3,2.8,7.2
Jia Perkins,SAS,G,33,759,33,3,759,8.8,23.3,.380,3.4,8.8,.386,5.5,14.5,.376,3.2,4.2,.754,1.2,6.4,4.4,3.7,0.8,2.0,3.0,24.3
Devereaux Peters,MIN,F,30,424,30,2,424,7.4,13.3,.560,0.0,0.0,,7.4,13.3,.560,4.4,6.2,.706,5.4,13.8,4.0,1.7,2.8,4.8,9.0,19.3
Sonja Petrovic,CHI,F,30,453,30,2,453,6.3,17.6,.358,2.0,7.1,.279,4.3,10.5,.411,2.3,3.0,.769,1.5,7.9,3.6,1.8,1.8,4.6,4.9,16.9
Erin Phillips,IND,G,29,620,29,8,620,5.4,13.8,.390,2.4,5.5,.438,2.9,8.2,.358,2.2,2.5,.862,2.1,6.9,5.5,1.9,0.3,3.0,4.2,15.3
Plenette Pierson,NYL,F,26,641,26,24,641,10.0,21.5,.466,0.4,1.5,.278,9.6,20.0,.480,5.2,6.8,.759,3.9,11.6,5.0,1.6,1.9,5.0,4.4,25.6
Jeanette Pohlen-Mavunga,IND,G,34,574,34,3,574,5.1,12.0,.430,3.0,7.1,.421,2.2,4.9,.442,0.7,0.9,.700,1.2,5.3,3.6,1.9,0.9,2.9,3.6,13.9
Cappie Pondexter,NYL,G,34,1162,34,34,1162,11.3,26.0,.435,2.4,7.3,.327,8.9,18.6,.477,6.5,7.5,.867,0.9,7.0,6.6,1.9,0.3,4.8,3.3,31.5
Nicole Powell,NYL,F,34,922,34,21,922,5.1,12.2,.416,2.7,6.9,.388,2.4,5.3,.452,0.7,0.9,.867,2.3,8.4,2.7,2.6,0.8,2.8,3.6,13.6
Samantha Prahalis,PHO,G,28,886,28,28,886,6.7,19.0,.352,1.6,6.1,.271,5.1,12.9,.390,3.3,3.9,.868,0.7,5.1,7.2,2.5,0.2,4.8,4.0,18.4
Armintie Herrington,ATL,G,34,904,34,33,904,6.1,11.9,.509,0.0,0.1,.000,6.1,11.8,.514,4.0,6.6,.602,3.5,7.0,4.8,2.2,0.6,3.3,4.2,16.1
Epiphanny Prince,CHI,G,26,780,26,25,780,10.7,24.1,.442,4.0,9.8,.407,6.6,14.2,.467,6.6,7.4,.899,1.6,6.2,5.4,3.2,0.5,3.5,3.9,32.0
Noelle Quinn,WAS,G,30,666,30,18,666,5.8,14.7,.396,2.5,6.2,.403,3.3,8.5,.390,1.5,2.1,.731,1.5,7.1,4.4,1.8,0.5,2.3,2.6,15.6
Katelan Redmon,NYL,G-F,7,42,7,0,42,3.8,17.5,.214,0.0,1.3,.000,3.8,16.3,.231,1.3,2.5,.500,6.3,10.0,2.5,3.8,0.0,3.8,10.0,8.8
Ruth Riley,CHI,C,33,476,33,14,476,4.0,10.6,.379,0.6,2.0,.278,3.4,8.6,.403,1.2,1.6,.786,1.9,8.8,3.7,2.6,2.2,3.0,8.2,9.8
Ashley Robinson,WAS,C,33,535,33,14,535,4.8,11.7,.410,0.0,0.1,.000,4.8,11.6,.414,0.7,2.0,.350,3.8,11.0,2.9,1.9,2.4,3.9,7.1,10.3
Danielle Robinson,SAS,G,34,984,34,34,984,7.8,14.4,.541,0.0,0.4,.000,7.8,14.0,.555,2.3,2.9,.782,1.0,4.5,7.8,2.5,0.2,2.9,4.1,17.9
Nakia Sanford,PHO,C-F,30,501,30,15,501,4.8,11.3,.425,0.4,1.6,.250,4.4,9.7,.454,2.4,4.0,.600,4.4,9.9,1.8,1.5,0.9,3.8,8.8,12.5
Chay Shegog,CON,C,3,9,3,0,9,5.7,17.1,.333,0.0,0.0,,5.7,17.1,.333,5.7,11.4,.500,5.7,11.4,0.0,5.7,0.0,5.7,17.1,17.1
